"N5-012","N5","～は","명사 + ～は","~은/는. 화제를 제시하거나 대비한다.","<ruby>私<rt>わたし</rt></ruby>は<ruby>朝<rt>あさ</rt></ruby>コーヒーを<ruby>飲<rt>の</rt></ruby>みます。","저는 아침에 커피를 마십니다.","このかばんは<ruby>軽<rt>かる</rt></ruby>いですが、あのかばんは<ruby>重<rt>おも</rt></ruby>いです。","이 가방은 가볍지만, 저 가방은 무겁습니다.","～が는 새 정보나 주어를 드러낼 때 많이 쓴다."
"N5-013","N5","～が","명사 + ～が","~이/가. 주어를 나타내고 새 정보나 특정 대상을 드러낸다.","だれが<ruby>窓<rt>まど</rt></ruby>を<ruby>開<rt>あ</rt></ruby>けましたか。","누가 창문을 열었습니까?","<ruby>駅<rt>えき</rt></ruby>の<ruby>前<rt>まえ</rt></ruby>に<ruby>銀行<rt>ぎんこう</rt></ruby>があります。","역 앞에 은행이 있습니다.","～は는 화제 제시, ～が는 주어·새 정보에 가깝다."
"N5-014","N5","～を","명사 + ～を","~을/를. 동작의 직접 목적어를 나타낸다.","<ruby>毎晩<rt>まいばん</rt></ruby>、<ruby>新聞<rt>しんぶん</rt></ruby>を<ruby>読<rt>よ</rt></ruby>みます。","매일 밤 신문을 읽습니다.","<ruby>週末<rt>しゅうまつ</rt></ruby>に<ruby>友<rt>とも</rt></ruby>だちと<ruby>映画<rt>えいが</rt></ruby>を<ruby>見<rt>み</rt></ruby>ました。","주말에 친구와 영화를 봤습니다.","장소의 동작은 ～で, 직접 목적어는 ～を를 쓴다."
"N5-015","N5","～に","명사 + ～に","~에. 시간·도착점·대상·존재 장소를 나타낸다.","<ruby>七時<rt>しちじ</rt></ruby>に<ruby>家<rt>いえ</rt></ruby>を<ruby>出<rt>で</rt></ruby>ます。","7시에 집을 나섭니다.","<ruby>机<rt>つくえ</rt></ruby>の<ruby>上<rt>うえ</rt></ruby>に<ruby>辞書<rt>じしょ</rt></ruby>があります。","책상 위에 사전이 있습니다.","행동이 일어나는 장소는 ～で, 존재 장소나 도착점은 ～に를 쓴다."
"N5-016","N5","～へ","명사 + ～へ","~(으)로. 방향을 나타낸다.","<ruby>来月<rt>らいげつ</rt></ruby>、<ruby>大阪<rt>おおさか</rt></ruby>へ<ruby>引<rt>ひ</rt></ruby>っ<ruby>越<rt>こ</rt></ruby>します。","다음 달에 오사카로 이사합니다.","これから<ruby>教室<rt>きょうしつ</rt></ruby>へ<ruby>戻<rt>もど</rt></ruby>ります。","지금부터 교실로 돌아갑니다.","～に보다 방향성을 더 의식할 때 잘 쓴다."
"N5-017","N5","～の","명사 + ～の","~의. 소유·수식·명사화를 나타낸다.","これは<ruby>母<rt>はは</rt></ruby>の<ruby>時計<rt>とけい</rt></ruby>です。","이것은 어머니의 시계입니다.","<ruby>日本語<rt>にほんご</rt></ruby>の<ruby>本<rt>ほん</rt></ruby>を<ruby>一冊<rt>いっさつ</rt></ruby><ruby>買<rt>か</rt></ruby>いました。","일본어 책을 한 권 샀습니다.","명사와 명사를 잇는 기본 수식 조사이다."
"N5-018","N5","～と","명사 + ～と / 인용문 + ～と","~와, ~라고. 함께하기·완전 나열·인용을 나타낸다.","<ruby>妹<rt>いもうと</rt></ruby>と<ruby>買<rt>か</rt></ruby>い<ruby>物<rt>もの</rt></ruby>に<ruby>行<rt>い</rt></ruby>きました。","여동생과 쇼핑하러 갔습니다.","<ruby>父<rt>ちち</rt></ruby>は「<ruby>早<rt>はや</rt></ruby>く<ruby>寝<rt>ね</rt></ruby>なさい」と<ruby>言<rt>い</rt></ruby>いました。","아버지는 ‘일찍 자라’라고 말했습니다.","명사 나열에서는 ～や보다 ‘전부 나열’ 느낌이 강하다."
"N5-019","N5","～や","명사 + ～や + 명사","~이나. 몇 가지를 예시로 드는 부분 나열이다.","つくえの<ruby>上<rt>うえ</rt></ruby>にペンやメモがあります。","책상 위에 펜이나 메모가 있습니다.","<ruby>休<rt>やす</rt></ruby>みの<ruby>日<rt>ひ</rt></ruby>は<ruby>本<rt>ほん</rt></ruby>やまんがを<ruby>読<rt>よ</rt></ruby>みます。","쉬는 날에는 책이나 만화를 읽습니다.","～と는 전부 나열, ～や는 예시 나열이다."
"N5-020","N5","～も","명사 + ～も","~도. 이미 나온 내용에 덧붙인다.","<ruby>弟<rt>おとうと</rt></ruby>も<ruby>野球<rt>やきゅう</rt></ruby>が<ruby>好<rt>す</rt></ruby>きです。","남동생도 야구를 좋아합니다.","その<ruby>問題<rt>もんだい</rt></ruby>は<ruby>私<rt>わたし</rt></ruby>もわかりません。","그 문제는 저도 모르겠습니다.","～だけ는 한정, ～も는 첨가를 나타낸다."
"N5-021","N5","～だけ","명사 / 보통형 + ～だけ","~만. 범위를 하나로 한정한다.","<ruby>今日<rt>きょう</rt></ruby>は<ruby>一枚<rt>いちまい</rt></ruby>だけ<ruby>写真<rt>しゃしん</rt></ruby>を<ruby>撮<rt>と</rt></ruby>りました。","오늘은 사진을 한 장만 찍었습니다.","<ruby>名前<rt>なまえ</rt></ruby>だけ<ruby>知<rt>し</rt></ruby>っています。","이름만 알고 있습니다.","～も가 ‘도’라면 ～だけ는 ‘만’이다."
"N5-022","N5","～から","시간 명사 / 장소 명사 + ～から","~부터. 시간이나 장소의 출발점을 나타낸다.","<ruby>午後<rt>ごご</rt></ruby><ruby>一時<rt>いちじ</rt></ruby>からミーティングです。","오후 1시부터 미팅입니다.","<ruby>友<rt>とも</rt></ruby>だちは<ruby>福岡<rt>ふくおか</rt></ruby>から<ruby>来<rt>き</rt></ruby>ました。","친구는 후쿠오카에서 왔습니다.","이 から는 이유가 아니라 기점 ‘~부터’이다."
"N5-023","N5","～まで","시간 명사 / 장소 명사 + ～まで","~까지. 시간이나 장소의 끝점을 나타낸다.","<ruby>店<rt>みせ</rt></ruby>は<ruby>十時<rt>じゅうじ</rt></ruby>まで<ruby>開<rt>あ</rt></ruby>いています。","가게는 10시까지 열려 있습니다.","うちから<ruby>駅<rt>えき</rt></ruby>まで<ruby>十分<rt>じゅっぷん</rt></ruby>です。","우리 집에서 역까지 10분입니다.","～から는 시작점, ～まで는 끝점이다."
"N5-024","N5","～から～まで","시간 / 장소 / 수량 + ～から～まで","~부터 ~까지. 범위를 양끝으로 나타낸다.","<ruby>授業<rt>じゅぎょう</rt></ruby>は<ruby>月曜日<rt>げつようび</rt></ruby>から<ruby>木曜日<rt>もくようび</rt></ruby>まであります。","수업은 월요일부터 목요일까지 있습니다.","ここから<ruby>橋<rt>はし</rt></ruby>までまっすぐ<ruby>歩<rt>ある</rt></ruby>いてください。","여기서 다리까지 곧장 걸어가 주세요.","～から와 ～まで를 함께 써서 범위를 완성한다."
"N5-025","N5","～お","お + 명사","말을 공손하고 부드럽게 만드는 정중 접두어이다.","お<ruby>名前<rt>なまえ</rt></ruby>をもう<ruby>一度<rt>いちど</rt></ruby>お<ruby>願<rt>ねが</rt></ruby>いします。","성함을 다시 한 번 부탁드립니다.","お<ruby>茶<rt>ちゃ</rt></ruby>はあちらにあります。","차는 저쪽에 있습니다.","보통 한자어 앞에는 ～ご를 쓰고, ～お는 고유어에 많이 붙는다."
"N5-026","N5","～ご","ご + 명사","명사 앞에 붙어 정중함을 나타내는 접두어이다.","ご<ruby>家族<rt>かぞく</rt></ruby>はお<ruby>元気<rt>げんき</rt></ruby>ですか。","가족분들은 잘 지내십니까?","ご<ruby>意見<rt>いけん</rt></ruby>がありましたら、こちらにお<ruby>書<rt>か</rt></ruby>きください。","의견이 있으시면 이쪽에 적어 주세요.","～お는 고유어에, ～ご는 한자어에 많이 붙는다."
"N5-027","N5","～たち","사람 명사 + ～たち","~들. 사람을 보통스럽게 복수로 나타낸다.","<ruby>学生<rt>がくせい</rt></ruby>たちが<ruby>図書館<rt>としょかん</rt></ruby>で<ruby>勉強<rt>べんきょう</rt></ruby>しています。","학생들이 도서관에서 공부하고 있습니다.","<ruby>私<rt>わたし</rt></ruby>たちは<ruby>駅<rt>えき</rt></ruby>の<ruby>前<rt>まえ</rt></ruby>で<ruby>集<rt>あつ</rt></ruby>まりました。","우리는 역 앞에서 모였습니다.","～がた보다 중립적이고, ～ら보다 덜 구어적이다."
"N5-028","N5","～がた","사람 명사 + ～がた","~분들. 사람을 높여 복수로 나타낸다.","<ruby>先生<rt>せんせい</rt></ruby>がたに<ruby>感謝<rt>かんしゃ</rt></ruby>の<ruby>手紙<rt>てがみ</rt></ruby>を<ruby>送<rt>おく</rt></ruby>りました。","선생님들께 감사의 편지를 보냈습니다.","ご<ruby>家族<rt>かぞく</rt></ruby>がたもぜひお<ruby>越<rt>こ</rt></ruby>しください。","가족분들도 꼭 와 주세요.","～たち보다 더 격식 있고, 높여 말할 때 쓴다."
"N5-029","N5","～ら","사람 명사 + ～ら","~들. 가볍고 구어적인 복수 표현이다.","<ruby>僕<rt>ぼく</rt></ruby>らは<ruby>放課後<rt>ほうかご</rt></ruby>によくゲームをします。","우리들은 방과 후에 자주 게임을 합니다.","あいつら、もう<ruby>帰<rt>かえ</rt></ruby>ったよ。","걔네들, 벌써 돌아갔어.","～たち보다 더 구어적이고 가벼운 느낌이다."
"N5-030","N5","～あります","명사 + ～があります / 장소 + に + 명사 + ～があります","무생물이 있습니다. 정중하게 존재를 말한다.","<ruby>会議室<rt>かいぎしつ</rt></ruby>の<ruby>前<rt>まえ</rt></ruby>に<ruby>案内板<rt>あんないばん</rt></ruby>があります。","회의실 앞에 안내판이 있습니다.","<ruby>今週<rt>こんしゅう</rt></ruby>はまだ<ruby>空<rt>あ</rt></ruby>いている<ruby>席<rt>せき</rt></ruby>があります。","이번 주는 아직 비어 있는 자리가 있습니다.","～がある의 정중체이며, 생물에는 ～います를 쓴다."
"N5-031","N5","～がある","장소 + に + 명사 + ～がある / 명사 + ～がある","무생물이 있다. 존재나 소유를 나타낸다.","この<ruby>町<rt>まち</rt></ruby>には<ruby>古<rt>ふる</rt></ruby>い<ruby>橋<rt>はし</rt></ruby>がある。","이 마을에는 오래된 다리가 있다.","<ruby>午後<rt>ごご</rt></ruby>は<ruby>少<rt>すこ</rt></ruby>し<ruby>時間<rt>じかん</rt></ruby>がある。","오후에는 시간이 조금 있다.","～あります는 정중체이고, 생물에는 ～がいる를 쓴다."
"N5-032","N5","～います","명사 + ～がいます / 장소 + に + 명사 + ～がいます","생물이 있습니다. 정중하게 존재를 말한다.","<ruby>受付<rt>うけつけ</rt></ruby>に<ruby>案内係<rt>あんないがかり</rt></ruby>がいます。","접수처에 안내 담당자가 있습니다.","この<ruby>会社<rt>かいしゃ</rt></ruby>には<ruby>外国人<rt>がいこくじん</rt></ruby>の<ruby>社員<rt>しゃいん</rt></ruby>がたくさんいます。","이 회사에는 외국인 직원이 많이 있습니다.","～がいる의 정중체이며, 무생물에는 ～あります를 쓴다."
"N5-033","N5","～がいる","장소 + に + 명사 + ～がいる / 명사 + ～がいる","생물이 있다. 사람이나 동물의 존재를 나타낸다.","あそこに<ruby>白<rt>しろ</rt></ruby>い<ruby>犬<rt>いぬ</rt></ruby>がいる。","저기에 흰 개가 있다.","<ruby>私<rt>わたし</rt></ruby>には<ruby>妹<rt>いもうと</rt></ruby>が一人いる。","나에게는 여동생이 한 명 있다.","～います는 정중체이고, 무생물에는 ～がある를 쓴다."
"N5-034","N5","～<ruby>動詞<rt>どうし</rt></ruby><ruby>活用<rt>かつよう</rt></ruby><ruby>基本形<rt>きほんけい</rt></ruby>","동사","동사의 사전형·ない형·た형·て형·ます형의 기본 활용 묶음이다.","「<ruby>読<rt>よ</rt></ruby>む」のない<ruby>形<rt>けい</rt></ruby>は「<ruby>読<rt>よ</rt></ruby>まない」です。","‘よむ’의 ない형은 ‘よまない’입니다.","「<ruby>行<rt>い</rt></ruby>く」のて<ruby>形<rt>けい</rt></ruby>は「<ruby>行<rt>い</rt></ruby>って」です。","‘いく’의 て형은 ‘いって’입니다.","이 다섯 형태는 이후 대부분의 동사 문법의 기반이 된다."
"N5-035","N5","～い<ruby>形容詞<rt>けいようし</rt></ruby><ruby>活用<rt>かつよう</rt></ruby>","い형용사","い형용사는 어미가 바뀌어 시제와 부정을 나타낸다.","このスープは<ruby>熱<rt>あつ</rt></ruby>くないです。","이 수프는 뜨겁지 않습니다.","<ruby>昨日<rt>きのう</rt></ruby>の<ruby>海<rt>うみ</rt></ruby>はとても<ruby>青<rt>あお</rt></ruby>かった。","어제 바다는 매우 푸르렀다.","な형용사는 어미가 아니라 だ/です 계열이 바뀐다."
"N5-036","N5","～いい","い형용사","좋다. 회화에서 기본형으로 자주 쓰는 형태이다.","この<ruby>席<rt>せき</rt></ruby>でいいですか。","이 자리로 괜찮습니까?","それなら<ruby>今日<rt>きょう</rt></ruby>でもいいよ。","그렇다면 오늘이어도 괜찮아.","활용할 때는 주로 ～よい 계열이 쓰인다."
"N5-037","N5","～よい","い형용사","좋다. ～いい의 활용에 쓰이는 기본형이다.","<ruby>体<rt>からだ</rt></ruby>によい<ruby>食べ物<rt>たべもの</rt></ruby>を<ruby>選<rt>えら</rt></ruby>びましょう。","몸에 좋은 음식을 고릅시다.","この<ruby>方法<rt>ほうほう</rt></ruby>はよくないと<ruby>思<rt>おも</rt></ruby>います。","이 방법은 좋지 않다고 생각합니다.","회화의 기본형은 ～いい가 더 흔하다."
"N5-038","N5","～な<ruby>形容詞<rt>けいようし</rt></ruby><ruby>活用<rt>かつよう</rt></ruby>","な형용사","な형용사는 だ/です 계열로 활용하고, 명사 수식에는 な를 붙인다.","この<ruby>通<rt>とお</rt></ruby>りは<ruby>夜<rt>よる</rt></ruby>でもにぎやかです。","이 거리는 밤에도 번화합니다.","<ruby>静<rt>しず</rt></ruby>かな<ruby>部屋<rt>へや</rt></ruby>で<ruby>少<rt>すこ</rt></ruby>し<ruby>休<rt>やす</rt></ruby>みたいです。","조용한 방에서 조금 쉬고 싶습니다.","い형용사는 어미 자체가 바뀌고, な형용사는 だ/な가 붙는다."
"N5-039","N5","～する","명사 + ～する / 단독 사용","~하다. 보통체의 불규칙 동사이다.","<ruby>週末<rt>しゅうまつ</rt></ruby>は<ruby>家<rt>いえ</rt></ruby>で<ruby>料理<rt>りょうり</rt></ruby>する。","주말에는 집에서 요리한다.","あとで<ruby>電話<rt>でんわ</rt></ruby>するね。","나중에 전화할게.","～します는 ～する의 정중체이다."
"N5-040","N5","～します","명사 + ～します / 단독 사용","~합니다. ～する의 정중체이다.","<ruby>毎朝<rt>まいあさ</rt></ruby>、ここで<ruby>散歩<rt>さんぽ</rt></ruby>します。","매일 아침, 여기서 산책합니다.","この<ruby>件<rt>けん</rt></ruby>は<ruby>私<rt>わたし</rt></ruby>が<ruby>説明<rt>せつめい</rt></ruby>します。","이 건은 제가 설명하겠습니다.","～する보다 공손한 말이다."
"N5-041","N5","～なる","명사 / な형용사 어간 + に / い형용사 어간 + く + ～なる","~이/가 되다. 상태가 자연스럽게 변한다.","この<ruby>子<rt>こ</rt></ruby>は<ruby>来年<rt>らいねん</rt></ruby><ruby>小学生<rt>しょうがくせい</rt></ruby>になる。","이 아이는 내년에 초등학생이 된다.","<ruby>冬<rt>ふゆ</rt></ruby>になると<ruby>日<rt>ひ</rt></ruby>が<ruby>短<rt>みじか</rt></ruby>くなる。","겨울이 되면 해가 짧아진다.","의도적으로 바꾸는 ～にする / ～くする와 다르다."
"N5-042","N5","～になる","명사 / な형용사 어간 + ～になる","~이/가 되다. 명사나 な형용사 상태로 바뀐다.","<ruby>兄<rt>あに</rt></ruby>は<ruby>来年<rt>らいねん</rt></ruby><ruby>医者<rt>いしゃ</rt></ruby>になる。","형은 내년에 의사가 된다.","この<ruby>店<rt>みせ</rt></ruby>は<ruby>夜<rt>よる</rt></ruby>になると<ruby>静<rt>しず</rt></ruby>かになります。","이 가게는 밤이 되면 조용해집니다.","명사·な형용사에는 ～になる, い형용사에는 ～くなる를 쓴다."
"N5-043","N5","～くなる","い형용사 어간 + ～くなる","~해지다. い형용사 상태로 바뀐다.","<ruby>八月<rt>はちがつ</rt></ruby>は<ruby>日<rt>ひ</rt></ruby>が<ruby>長<rt>なが</rt></ruby>くなる。","8월은 해가 길어진다.","このスープ、<ruby>少<rt>すこ</rt></ruby>し<ruby>冷<rt>つめ</rt></ruby>たくなったね。","이 수프, 조금 식었네.","い형용사 변화에만 쓰며, 명사·な형용사에는 ～になる를 쓴다."
"N5-044","N5","～にする","명사 / な형용사 어간 + ～にする","~로 하다. 선택하거나 그렇게 만들다.","<ruby>会議<rt>かいぎ</rt></ruby>の<ruby>時間<rt>じかん</rt></ruby>を3<ruby>時<rt>じ</rt></ruby>にしましょう。","회의 시간을 3시로 합시다.","<ruby>昼<rt>ひる</rt></ruby>ご<ruby>飯<rt>はん</rt></ruby>はうどんにする。","점심은 우동으로 할게.","명사·な형용사에는 ～にする, い형용사에는 ～くする를 쓴다."
"N5-045","N5","～くする","い형용사 어간 + ～くする","~하게 하다. い형용사 상태로 의도적으로 바꾼다.","<ruby>字<rt>じ</rt></ruby>をもっと<ruby>大<rt>おお</rt></ruby>きくしてください。","글자를 좀 더 크게 해 주세요.","<ruby>部屋<rt>へや</rt></ruby>を<ruby>明<rt>あか</rt></ruby>るくしたいです。","방을 밝게 하고 싶습니다.","い형용사 변화에만 쓰며, 명사·な형용사에는 ～にする를 쓴다."
"N5-046","N5","～て","동사 て형 / い형용사 어간 + くて","~하고, ~해서. 동작이나 상태를 이어 준다.","<ruby>窓<rt>まど</rt></ruby>を<ruby>開<rt>あ</rt></ruby>けて、<ruby>空気<rt>くうき</rt></ruby>を<ruby>入<rt>い</rt></ruby>れました。","창문을 열고 공기를 들였습니다.","この<ruby>店<rt>みせ</rt></ruby>は<ruby>安<rt>やす</rt></ruby>くて、おいしいです。","이 가게는 싸고 맛있습니다.","명사·な형용사 연결은 주로 ～で를 쓴다."
"N5-047","N5","～で","な형용사 어간 + ～で / 명사 + ～で","~이고, ~해서. 명사나 な형용사를 이어 준다.","この<ruby>町<rt>まち</rt></ruby>は<ruby>静<rt>しず</rt></ruby>かで、<ruby>住<rt>す</rt></ruby>みやすいです。","이 마을은 조용해서 살기 편합니다.","<ruby>父<rt>ちち</rt></ruby>は<ruby>教師<rt>きょうし</rt></ruby>で、<ruby>母<rt>はは</rt></ruby>は<ruby>看護師<rt>かんごし</rt></ruby>です。","아버지는 교사이고, 어머니는 간호사입니다.","동사·い형용사 연결은 주로 ～て 계열을 쓴다."
"N5-048","N5","～てから","동사 て형 + ～から","~하고 나서. 앞 동작이 끝난 뒤 다음 동작이 일어난다.","<ruby>手<rt>て</rt></ruby>を<ruby>洗<rt>あら</rt></ruby>ってから、<ruby>食事<rt>しょくじ</rt></ruby>してください。","손을 씻고 나서 식사해 주세요.","<ruby>駅<rt>えき</rt></ruby>に<ruby>着<rt>つ</rt></ruby>いてから<ruby>電話<rt>でんわ</rt></ruby>します。","역에 도착하고 나서 전화하겠습니다.","～て보다 순서의 완료 관계를 더 분명히 한다."
"N5-049","N5","～ている","동사 て형 + ～いる","~하고 있다; ~해 있다. 진행·결과 상태·습관을 나타낸다.","<ruby>今<rt>いま</rt></ruby>、<ruby>妹<rt>いもうと</rt></ruby>は<ruby>台所<rt>だいどころ</rt></ruby>で<ruby>料理<rt>りょうり</rt></ruby>しています。","지금 여동생은 부엌에서 요리하고 있습니다.","<ruby>窓<rt>まど</rt></ruby>が<ruby>少<rt>すこ</rt></ruby>し<ruby>開<rt>あ</rt></ruby>いている。","창문이 조금 열려 있다.","진행뿐 아니라 결과 상태·습관도 나타낸다."
"N5-050","N5","～まだ～ていません","まだ + 동사 て형 + ～いません","아직 ~하지 않았습니다. 완료되지 않았음을 나타낸다.","A：もうレポートを<ruby>出<rt>だ</rt></ruby>しましたか。B：いいえ、まだ<ruby>出<rt>だ</rt></ruby>していません。","A: 이미 리포트를 냈습니까? B: 아니요, 아직 내지 않았습니다.","<ruby>夕食<rt>ゆうしょく</rt></ruby>はまだ<ruby>始<rt>はじ</rt></ruby>まっていません。","저녁 식사는 아직 시작되지 않았습니다.","もう～ました와 짝을 이루는 미완료 표현이다."
"N5-051","N5","～ないで","동사 ない형 + ～ないで","~하지 않고. 앞 동작을 하지 않은 채 다른 동작을 한다.","<ruby>朝<rt>あさ</rt></ruby>ごはんを<ruby>食<rt>た</rt></ruby>べないで<ruby>出<rt>で</rt></ruby>かけました。","아침밥을 먹지 않고 나갔습니다.","めがねをかけないで<ruby>本<rt>ほん</rt></ruby>を<ruby>読<rt>よ</rt></ruby>んだら、<ruby>目<rt>め</rt></ruby>が<ruby>疲<rt>つか</rt></ruby>れました。","안경을 쓰지 않고 책을 읽었더니 눈이 피곤해졌습니다.","～なくて는 이유, ～ないで는 대체 동작·부수 상황에 가깝다."
"N5-052","N5","～なくて","동사 ない형 + ～なくて","~하지 않아서. 부정 상태나 부정 동작이 이유가 된다.","<ruby>電車<rt>でんしゃ</rt></ruby>が<ruby>来<rt>こ</rt></ruby>なくて、<ruby>約束<rt>やくそく</rt></ruby>に<ruby>遅<rt>おく</rt></ruby>れました。","전철이 오지 않아서 약속에 늦었습니다.","<ruby>名前<rt>なまえ</rt></ruby>がわからなくて、まだ<ruby>申込書<rt>もうしこみしょ</rt></ruby>を<ruby>書<rt>か</rt></ruby>けません。","이름을 몰라서 아직 신청서를 쓸 수 없습니다.","～ないで는 ‘~하지 않고’, ～なくて는 ‘~하지 않아서’에 가깝다."
"N5-053","N5","～たり～たりする","동사 た형 + ～たり + 동사 た형 + ～たりする","~하거나 ~하거나 하다. 몇 가지 동작을 예시로 든다.","<ruby>休<rt>やす</rt></ruby>みの<ruby>日<rt>ひ</rt></ruby>は、<ruby>音楽<rt>おんがく</rt></ruby>を<ruby>聞<rt>き</rt></ruby>いたり、<ruby>散歩<rt>さんぽ</rt></ruby>したりします。","쉬는 날에는 음악을 듣거나 산책을 하거나 합니다.","<ruby>午後<rt>ごご</rt></ruby>はカフェで<ruby>勉強<rt>べんきょう</rt></ruby>したり、<ruby>友<rt>とも</rt></ruby>だちと<ruby>話<rt>はな</rt></ruby>したりしました。","오후에는 카페에서 공부하거나 친구와 이야기하거나 했습니다.","～て는 순서 연결, ～たり～たりする는 예시 나열이다."
"N5-054","N5","～ください","명사 + を + ～ください","주세요. 물건이나 서비스를 정중하게 요청한다.","すみません、<ruby>温<rt>あたた</rt></ruby>かいお<ruby>茶<rt>ちゃ</rt></ruby>をください。","실례합니다, 따뜻한 차 주세요.","<ruby>受付<rt>うけつけ</rt></ruby>で<ruby>入場券<rt>にゅうじょうけん</rt></ruby>をください。","접수처에서 입장권 주세요.","～てください는 행동 요청, ～ください는 물건·서비스 요청이다."
"N5-055","N5","～をください","명사 + ～をください","~을/를 주세요. 원하는 물건을 바로 지정해 요청한다.","この<ruby>赤<rt>あか</rt></ruby>いペンをください。","이 빨간 펜 주세요.","チーズケーキを<ruby>二<rt>ふた</rt></ruby>つください。","치즈케이크를 두 개 주세요.","～がほしい는 내 바람, ～をください는 상대에게 직접 하는 요청이다."
